Object Center X,"	Object Center Y","	X Left","	Y Top","	X Right","	Y Bottom","	Area","	Orientation","	Frame #","	Time / s","	Aspect Ratio","	Pixel Threshold","	Max Droplet Width / um","	Contact Droplet Width / um","	Volume (slices) / um3","	Volume (cap) / um3","	Volume-equivalent radius / um","	Volume-equivalent diameter / um","	Height of spherical cap / um","	Contact angle / degrees","	Surface area / um2"
59.940437,84.013374,29,58,92,106,2468,176.909988,119,1.983333,1.3125,144,42.376682,35.650224,32223.38634,33737.39071,19.740623,39.481246,32.286996,122.195286,4273.146266
59.880825,83.976486,29,58,91,106,2467,177.039474,120,2,1.291667,144,41.704036,35.650224,32139.48745,33737.39071,19.723476,39.446951,32.286996,122.195286,4273.146266
59.908203,84.020309,29,58,91,106,2462,176.756485,121,2.016667,1.291667,144,41.704036,35.650224,32047.93967,33737.39071,19.704731,39.409461,32.286996,122.195286,4273.146266
59.834015,84.094032,29,58,91,106,2446,177.393463,122,2.033333,1.291667,144,41.704036,34.977578,31795.52593,33135.03974,19.652862,39.305724,32.286996,123.114143,4235.83397
60.032192,84.034233,30,58,91,106,2454,177.49736,123,2.05,1.270833,144,41.03139,35.650224,31926.99142,33737.39071,19.679911,39.359822,32.286996,122.195286,4273.146266
59.821354,84.168381,30,58,91,106,2435,177.066437,124,2.066667,1.270833,144,41.03139,34.977578,31620.79635,33135.03974,19.616795,39.233591,32.286996,123.114143,4235.83397
59.874077,84.166939,30,58,91,106,2438,176.798523,125,2.083333,1.270833,144,41.03139,35.650224,31670.27518,33737.39071,19.627022,39.254044,32.286996,122.195286,4273.146266
59.913418,84.130486,30,58,91,106,2437,176.297867,126,2.1,1.270833,144,41.03139,35.650224,31594.9813,33737.39071,19.611456,39.222911,32.286996,122.195286,4273.146266
59.915806,84.26207,30,58,91,106,2423,176.570572,127,2.116667,1.270833,144,41.03139,35.650224,31403.28072,33737.39071,19.571711,39.143423,32.286996,122.195286,4273.146266
60.00288,84.193085,30,58,91,106,2429,177.034882,128,2.133333,1.270833,144,41.03139,35.650224,31474.98917,33737.39071,19.586597,39.173195,32.286996,122.195286,4273.146266
