,time,ca_rad,activity_coeff,mass,tau,dm/dt,new_mass,mass_frac_solute,mass_frac_solvent,density,radius,volume
268,4.304,2.226836463074349,0.5443660851806627,3.583073921011262e-11,0.5355403154572291,1.6408842094260514e-12,3.5804485062761805e-11,0.4629901950007968,0.5370098049992026,1387.001600848165,15.043252314137312,25814.306948793004
269,4.32,2.226836463074349,0.5438609721197665,3.5804485062761876e-11,0.5307888775266557,1.6191152354915093e-12,3.577857921899401e-11,0.46332542775513086,0.5366745722448685,1387.3542181443809,15.038349034437843,25789.073007503957
270,4.336,2.226836463074349,0.5433623460799382,3.577857921899407e-11,0.5260692098405925,1.5976401316098629e-12,3.575301697688831e-11,0.46365669033824897,0.5363433096617503,1387.7027793314312,15.033507856161302,25764.174799818036
271,4.352,2.226836463074349,0.5428701298529646,3.575301697688837e-11,0.5213813616334072,1.5764549722354926e-12,3.57277936973326e-11,0.46398402491752294,0.5360159750824763,1388.047324507107,15.028728013501794,25739.60776879093
272,4.368,2.226836463074349,0.5423842468518032,3.5727793697332664e-11,0.516725373228386,1.555555877803039e-12,3.5702904803287817e-11,0.4643074733679585,0.5356925266320407,1388.3878935724063,15.02400874909029,25715.367418986978
273,4.384,2.226836463074349,0.541904621118384,3.570290480328788e-11,0.5121012763089277,1.5349390145291667e-12,3.5678345779055413e-11,0.46462707726888974,0.5353729227311095,1388.7245262257322,15.019349313943174,25691.449315741418
274,4.4,2.226836463074349,0.54143117733053,3.5678345779055485e-11,0.5075090941815498,1.5146005941911522e-12,3.565411216954843e-11,0.4649428779009009,0.5350571220990982,1389.057261957371,15.014748967409366,25667.849084426456
275,4.416,2.226836463074349,0.540963840808466,3.565411216954849e-11,0.502948842035476,1.49453687389741e-12,3.5630199579566134e-11,0.4652549162429717,0.5347450837570273,1389.3861400442281,15.010206977116175,25644.56240972141
276,4.432,2.226836463074349,0.5405025375207444,3.56301995795662e-11,0.4984205271968351,1.4747441558446058e-12,3.560660367307269e-11,0.4655632329698382,0.5344367670301607,1389.7111995448308,15.005722618913866,25621.585034886994
277,4.448,2.226836463074349,0.5400471940894036,3.560660367307275e-11,0.4939241493752574,1.4552187870554514e-12,3.558332017247987e-11,0.46586786844956113,0.5341321315504377,1390.0324792945755,15.001295176819134,25598.912761044237
278,4.464,2.226836463074349,0.5395977377948142,3.558332017247993e-11,0.4894597009076327,1.435957159111954e-12,3.5560344857934143e-11,0.4661688627412972,0.5338311372587016,1390.350017901224,14.996923942957446,25576.541446457904
279,4.48,2.226836463074349,0.5391540965798427,3.5560344857934215e-11,0.4850271669948484,1.4169557078722337e-12,3.553767356660826e-11,0.4664662555932656,0.5335337444067331,1390.6638537406377,14.992608217504412,25554.467005824776
280,4.496,2.226836463074349,0.5387161990535958,3.5537673566608323e-11,0.4806265259342075,1.3982109131794464e-12,3.5515302191997454e-11,0.46676008644090394,0.5332399135590947,1390.974024952744,14.988347308626189,25532.685409566886
281,4.5120000000000005,2.226836463074349,0.5382839744946608,3.551530219199752e-11,0.47625774934644455,1.3797192985600883e-12,3.5493226683220554e-11,0.46705039440520724,0.5329496055947914,1391.2805694377273,14.984140532419033,25511.192683129902
282,4.5280000000000005,2.226836463074349,0.5378573528538411,3.549322668322061e-11,0.4719208023972012,1.3614774309117676e-12,3.5471443044326025e-11,0.46733721829124375,0.5326627817087549,1391.5835248524397,14.979987212848032,25489.98490628677
283,4.5440000000000005,2.226836463074349,0.5374362647564936,3.547144304432608e-11,0.4676156440139764,1.3434819201838398e-12,3.544994733360314e-11,0.4676205965868422,0.5323794034131565,1391.8829286070254,14.975886681685095,25469.058212446715
284,4.5600000000000005,2.226836463074349,0.5370206415044194,3.54499473336032e-11,0.4633422270978889,1.3257294190493668e-12,3.542873566289841e-11,0.467900567461444,0.5320994325385547,1392.1788178617512,14.971838278446251,25448.40878796981
285,4.5760000000000005,2.226836463074349,0.5366104150773054,3.542873566289847e-11,0.4591004987301149,1.3082166225684102e-12,3.540780419693738e-11,0.46817716876511484,0.5318228312348838,1392.4712295240365,14.96784135032833,25428.032871487187
286,4.5920000000000005,2.226836463074349,0.5362055181337908,3.5407804196937444e-11,0.4548904003736661,1.2909402678449446e-12,3.5387149152651926e-11,0.46845043802771064,0.5315495619722881,1392.7602002456813,14.963895252145072,25407.92675322692
287,4.6080000000000005,2.226836463074349,0.5358058840121913,3.538714915265199e-11,0.45071186807079466,1.2738971336785132e-12,3.5366766798513134e-11,0.4687204124581916,0.5312795875418072,1393.0457664202804,14.959999346262705,25388.0867743458
288,4.624,2.226836463074349,0.5354114467308406,3.5366766798513205e-11,0.4465648326354512,1.2570840402092855e-12,3.534665345386986e-11,0.46898712894408034,0.5310128710559183,1393.3279641808226,14.956153002535071,25368.509326267034
289,4.64,2.226836463074349,0.5350221409879552,3.5346653453869924e-11,0.4424492198396241,1.240497848553543e-12,3.5326805488293065e-11,0.4692506240510568,0.530749375948942,1393.6068293974665,14.952355598238334,25349.190850023893
290,4.656,2.226836463074349,0.5346379021614212,3.532680548829312e-11,0.43836495059797465,1.2241354604423053e-12,3.530721932092605e-11,0.46951093402268684,0.5304890659773118,1393.8823976754895,14.948606518005315,25330.127835609514
291,4.672,2.226836463074349,0.5342586663079985,3.530721932092611e-11,0.43431194114496124,1.2079938178469665e-12,3.528789141984056e-11,0.46976809478027953,0.5302319052197191,1394.1547043534026,14.944905153759509,25311.316821332817
292,4.688,2.226836463074349,0.5338843701624043,3.528789141984062e-11,0.43029010320958616,1.192069902606624e-12,3.526881830139891e-11,0.4700221419228662,0.5299778580771324,1394.4237845012265,14.941250904648827,25292.754393180596
293,4.704,2.226836463074349,0.5335149511359916,3.526881830139897e-11,0.4262993441844836,1.1763607360481026e-12,3.52499965296222e-11,0.47027311072729894,0.5297268892726995,1394.6896729189264,14.937643176979106,25274.437184185914
294,4.72,2.226836463074349,0.5331503473152921,3.5249996529622264e-11,0.42233956729231426,1.1608633786071088e-12,3.523142271556455e-11,0.47052103614846374,0.5294789638515348,1394.9524041349957,14.934081384147408,25256.361873802718
295,4.736,2.226836463074349,0.5327904974600486,3.523142271556461e-11,0.4184106717451111,1.1455749294386576e-12,3.5213093516693596e-11,0.4707659528196012,0.5292340471803972,1395.2120124051867,14.930564946575188,25238.525187286934
296,4.752,2.226836463074349,0.5324353410012392,3.521309351669366e-11,0.41451255290226885,1.1304925260326573e-12,3.519500563627714e-11,0.4710078950527342,0.5289921049472641,1395.4685317113824,14.927093291641341,25220.923895083823
297,4.768,2.226836463074349,0.5320848180387614,3.5195005636277206e-11,0.41064510242329283,1.1156133438240503e-12,3.517715582277602e-11,0.47124689683919574,0.5287531031608027,1395.7219957606064,14.923665853615153,25203.55481222178
298,4.784,2.226836463074349,0.5317388693388594,3.5177155822776083e-11,0.40680820841621546,1.1009345958001787e-12,3.515954086924328e-11,0.47148299185025316,0.5285170081497452,1395.9724379841634,14.92028207358923,25186.41479771261
299,4.8,2.226836463074349,0.5313974363314387,3.5159540869243345e-11,0.4030017555832786,1.0864535321098222e-12,3.5142157612729585e-11,0.4717162134378269,0.5282837865621716,1396.2198915369072,14.91694139941239,25169.500753958175
300,4.816,2.226836463074349,0.5310604611069962,3.5142157612729656e-11,0.39922562536067563,1.0721674396653264e-12,3.512500293369501e-11,0.4719465946352958,0.5280534053647027,1396.464389296634,14.913643285622603,25152.809626163573
301,4.832,2.226836463074349,0.530727886413537,3.5125002933695066e-11,0.39547969605660854,1.0580736417494466e-12,3.510807375542708e-11,0.47217416815838936,0.527825831841609,1396.7059638635906,14.910387193379956,25136.338401756773
302,4.848,2.226836463074349,0.5303996556532766,3.510807375542714e-11,0.39176384298533035,1.0441694976206213e-12,3.509136704346521e-11,0.47239896640616114,0.5276010335938373,1396.9446475601026,14.907172590399702,25120.08410981469
303,4.864,2.226836463074349,0.5300757128789897,3.509136704346527e-11,0.3880779385953854,1.0304524021120293e-12,3.5074879805031475e-11,0.4726210214620391,0.5273789785379595,1397.1804724303074,14.90399895088543,25104.04382049581
304,4.88,2.226836463074349,0.5297560027904566,3.5074879805031547e-11,0.3844218525974175,1.0169197852388482e-12,3.505860908846773e-11,0.4728403650949513,0.5271596349050472,1397.4134702399974,14.900865755462355,25088.214644479292
305,4.896,2.226836463074349,0.5294404707306413,3.505860908846779e-11,0.3807954520871508,1.0035691118019523e-12,3.504255198267896e-11,0.47305702876052313,0.5269429712394754,1397.643672476564,14.897772491110763,25072.59373241041
306,4.912,2.226836463074349,0.5291290626815268,3.504255198267902e-11,0.37719860166259417,9.903978809857038e-13,3.502670561658325e-11,0.47327104360234046,0.526728956397658,1397.8711103490423,14.894718651099652,25057.17827435266
307,4.928,2.226836463074349,0.5288217252603218,3.5026705616583316e-11,0.37363116354398734,9.774036259723081e-13,3.501106715856776e-11,0.47348244045328,0.5265175595467185,1398.0958147882475,14.891703734920561,25041.96549924617
308,4.944,2.226836463074349,0.528518405714884,3.501106715856783e-11,0.3700929976826425,9.645839135362428e-13,3.499563381595125e-11,0.47369124983689853,0.5263087501631,1398.3178164470062,14.888727248221638,25026.952674372595
309,4.96,2.226836463074349,0.5282190519195709,3.499563381595131e-11,0.3665839618731537,9.51936343656907e-13,3.4980402834452795e-11,0.4738975019688828,0.5261024980311159,1398.5371457004733,14.885788702741959,25012.137104826386
310,4.976,2.226836463074349,0.5279236123707136,3.4980402834452866e-11,0.3631039118593013,9.394585491240106e-13,3.496537149766688e-11,0.4741012267585538,0.5258987732414449,1398.753832646535,14.882887616246085,24997.51613299252
311,4.992,2.226836463074349,0.52763203618197,3.4965371497666953e-11,0.3596527014367085,9.271481951438029e-13,3.4950537126544655e-11,0.4743024538104245,0.525697546189574,1398.9679071062892,14.880023512458957,24983.087138030554
312,5.008,2.226836463074349,0.5273442730797768,3.495053712654472e-11,0.3562301825548984,9.15002978952956e-13,3.493589707888147e-11,0.47450121242580806,0.5254987875741904,1399.1793986246112,14.87719592100102,24968.8475353649
313,5.024,2.226836463074349,0.5270602733984688,3.493589707888152e-11,0.35283620541346566,9.030206294263856e-13,3.49214487488107e-11,0.47469753160447237,0.5253024683955262,1399.3883364707833,14.874404377323753,24954.794776181698
314,5.04,2.226836463074349,0.526779988075468,3.492144874881075e-11,0.34947061855728706,8.91198906691762e-13,3.4907189566303685e-11,0.47489144004634065,0.5251085599536579,1399.5947496392082,14.871648422645457,24940.926346931617
